Area,Task,Priority,Complexity,Owner,CanCodexDo,Artifacts,AcceptanceCriteria
Database,Schema coverage audit & index plan,P0,Low,[Codex],Y,KT_DB_AGENT_AUDIT.md; index-plan.sql,All 75 tables accounted for; composite indexes verified
Database,Generate & annotate drift diff,P0,Low,[Codex],Y,.tmp/db-drift.sql; drift-analysis.md,Drift report generated; schema matches target DB
Database,Create least-privilege DB roles,P0,Medium,[Agency],N,DB_LEAST_PRIVILEGE_ROLES.md; migration.sql,neonhub_app (DML) and neonhub_migrate (DDL) roles created
Database,Seed hardening & deterministic IDs,P0,Medium,[Codex],Y,apps/api/prisma/seed.ts; SEED_VALIDATION.md,Seed runs idempotently; 40+ baseline records created
Database,IVFFLAT index creation (deferred),P1,Medium,[Shared],Y,migrations/add-ivfflat-indexes.sql,Indexes created after 1K+ vectors seeded; query perf validated
Database,Query performance baseline,P1,Low,[Codex],Y,db-performance.json; query-samples.sql,Row counts and query times documented per table
Database,Local drift check with Docker,P2,Low,[Codex],Y,docker-compose.db.yml; drift-check-local.sh,Docker Postgres starts; drift diff successful
Orchestrator,AgentRun persistence integration test,P0,Medium,[Codex],Y,apps/api/src/services/orchestration/tests/persistence.test.ts,All AgentRun records persisted; test coverage >85%
Orchestrator,Wire ToolExecution recording,P0,Medium,[Codex],Y,agent-handlers/**/*.ts; TOOL_EXEC_WIRING.md,Tool calls logged with input/output/duration
Orchestrator,AgentRunMetric population,P0,Medium,[Codex],Y,agents/utils/agent-run.ts; metrics-wiring.md,Metrics populated on run completion/failure
Orchestrator,Learning loop wiring (PgVectorStore),P0,High,[Codex],Y,modules/predictive-engine/; LEARNING_LOOP_INTEGRATION.md,learn() and recall() methods exposed; vector queries working
Orchestrator,RAG enablement & semantic search,P0,High,[Codex],Y,services/rag/; RAG_VALIDATION.md,Embeddings seeded; similarity search returns relevant chunks
Orchestrator,Rate limiting load test,P1,Medium,[Agency],N,load-test-report.json; rate-limit-validation.md,System handles 100+ req/min per agent
Worker/Queues,BullMQ configuration verification,P1,Medium,[Codex],Y,apps/worker/bullmq.config.ts; QUEUE_VALIDATION.md,Queue connects to Redis; job transitions tracked
